104;10529
110;11840
146;12711
117;12853
114;13122
123;13581
130;13585
138;13599
148;13638
100;13673
150;13733
101;13754
121;13779
127;13846
147;13987
139;13999
116;14004
144;14074
102;14101
103;14165
111;14174
118;14177
133;14275
119;14277
143;14329
132;14359
125;14395
128;14444
137;14478
113;14495
126;14511
124;14578
108;14594
145;14616
149;14632
112;14680
140;14707
129;15014
141;15141
109;15211
151;15313
131;15452
120;15474
105;15475
135;15492
134;15506
122;15533
107;15749
142;15809
136;15824
115;15951
106;16151
